case,reference_case,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06,wide-svd,80_90,6.1470584099133205,9.863235784683155,24.366465084967636,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06,wide-svd,90,4.925462786491699,10.829487516593561,24.366465084967636,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-07,wide-svd,0_60,1.5812077980467438,4.101217221191376,9.7513998803379,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-07,wide-svd,70_90,7.4160063029477605,10.094044659215294,25.30481195847431,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-07,wide-svd,80_90,6.505871828421304,10.379503159303928,25.30481195847431,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-07,wide-svd,90,3.4721274815493453,10.398311448201182,25.30481195847431,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-06,wide-svd,0_60,1.724173608683227,3.990263315016526,10.127862473599109,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-06,wide-svd,70_90,6.960485424141085,9.58184949062835,24.380231285230586,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-06,wide-svd,80_90,6.1497572260004825,9.862619936548732,24.380231285230586,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg3e-06,wide-svd,90,4.836381104182188,10.76692288119716,24.380231285230586,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07-svd1e-05,wide-svd,0_60,1.5912905776404431,4.119824114004604,9.821403866770936,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07-svd1e-05,wide-svd,70_90,7.418527124506635,10.039099654448862,25.153354203128607,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07-svd1e-05,wide-svd,80_90,6.505546567203484,10.294039125416438,25.153354203128607,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07-svd1e-05,wide-svd,90,3.5259516313976524,10.277029874821359,25.153354203128607,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06-svd1e-05,wide-svd,0_60,1.7288907900209651,3.9895573231088006,10.182780764363002,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06-svd1e-05,wide-svd,70_90,6.950384851288997,9.576191265790634,24.366465084956687,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06-svd1e-05,wide-svd,80_90,6.147073520047467,9.863254087038067,24.366465084956687,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06-svd1e-05,wide-svd,90,4.925436582280219,10.829473641837936,24.366465084956687,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06,wide-svd,0_60,1.7021482570357487,4.160043784296843,10.39893298376775,1200.0,30.0
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06,wide-svd,70_90,7.349689927171068,9.690674334556297,24.44379065255235,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06,wide-svd,80_90,6.521562501379579,9.866718051430658,24.44379065255235,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06,wide-svd,90,4.5891793684702895,10.18593177860908,24.44379065255235,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06,wide-svd,0_60,1.181113807699905,3.2922799106359544,10.075042108695541,1200.0,30.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06,wide-svd,70_90,2.039904916508688,8.243400566119059,18.377568832453427,1200.0,90.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06,wide-svd,80_90,-0.5583866913111932,8.585181016478908,18.377568832453427,1200.0,90.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06,wide-svd,90,-8.120853839811549,9.457238456429756,18.377568832453427,1200.0,90.0
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06-svd1e-05,wide-svd,0_60,1.7020924651191123,4.160006777307203,10.398798342224154,1200.0,30.0
