case,reference_case,comparison_set,case_is_eligible_reference,eligible_reference_count,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
modal-compact2,modal-full2,source_cv_recommended_juan_only,True,6,80_90,-0.11078501066803838,0.2957853179840253,0.6036277106093664,300.0,90.0
modal-compact2,modal-full2,source_cv_recommended_juan_only,True,6,90,-0.2490165338475338,0.3761202130874334,0.6036277106093664,300.0,90.0
modal-compact2,modal-compact3,source_cv_recommended_juan_only,True,6,0_60,-0.19863362018501712,0.34629664886895983,1.9569077524059537,1200.0,60.0
modal-compact2,modal-compact3,source_cv_recommended_juan_only,True,6,70_90,0.6003999905394489,2.1143692655140685,5.7730937948986,1100.4048518456054,90.0
modal-compact2,modal-compact3,source_cv_recommended_juan_only,True,6,80_90,1.2644482621956392,2.5185149804334928,5.7730937948986,1100.4048518456054,90.0
modal-compact2,modal-compact3,source_cv_recommended_juan_only,True,6,90,2.990643043224728,3.52720744634721,5.7730937948986,1100.4048518456054,90.0
modal-compact2,modal-full4-svd,source_cv_recommended_juan_only,True,6,0_60,-1.0135647227630487,1.5740158678517369,5.428200009291892,1100.4048518456054,60.0
modal-compact2,modal-full4-svd,source_cv_recommended_juan_only,True,6,70_90,2.4730085417604193,8.82468127281361,23.066921146501087,1100.4048518456054,90.0
modal-compact2,modal-full4-svd,source_cv_recommended_juan_only,True,6,80_90,5.3789797912207,10.49241444819,23.066921146501087,1100.4048518456054,90.0
modal-compact2,modal-full4-svd,source_cv_recommended_juan_only,True,6,90,13.818171378925632,14.495956395282498,23.066921146501087,1100.4048518456054,90.0
