case,source_model,source_profile,rear_phase,mode_count,basis_kind,side_gap_mm,rear_basket_mode_count,half_depth_mm,radii_mm,front_depth_mm,rear_depth_mm,front_radii_mm,rear_radii_mm,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg,fit_front_norm_rms_db_300_1200,fit_rear_norm_rms_db_300_1200,fit_side_worst_norm_rms_db_300_1200,fit_front_abs_rms_db_300_1200,fit_rear_abs_rms_db_300_1200,fit_side_worst_abs_rms_db_300_1200,fit_front_phase_rms_deg_300_1200,fit_rear_phase_rms_deg_300_1200,fit_side_worst_phase_rms_deg_300_1200,design_cond_max,effective_cond_max,source_count,basis_count
physical-diaphragm-compact-coupled-dipole-az16-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,70_90,0.15275824671870666,0.180969671208584,0.3901362690234791,1200.0,80.0,3.301190552978025,4.298861722140064,4.298861722140064,3.124431203048401,4.099853647900193,4.099853647900193,66.33998610836349,24.5003067567734,66.33998610836349,37641.93822963838,37641.93822963838,4,4
physical-diaphragm-compact-coupled-dipole-az16-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,80_90,0.16859561963715897,0.19577610304671936,0.3901362690234791,1200.0,80.0,3.301190552978025,4.298861722140064,4.298861722140064,3.124431203048401,4.099853647900193,4.099853647900193,66.33998610836349,24.5003067567734,66.33998610836349,37641.93822963838,37641.93822963838,4,4
physical-diaphragm-compact-coupled-dipole-az16-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,90,0.18309518136728542,0.2054390716237473,0.38786635672072833,1200.0,90.0,3.301190552978025,4.298861722140064,4.298861722140064,3.124431203048401,4.099853647900193,4.099853647900193,66.33998610836349,24.5003067567734,66.33998610836349,37641.93822963838,37641.93822963838,4,4
physical-diaphragm-compact-coupled-dipole-az24-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,0_60,0.027627923540172968,0.04575679515137719,0.1989577427967788,1200.0,60.0,3.5405014564918007,4.679227627592146,4.679227627592146,3.464893658720065,4.389060587734624,4.389060587734624,61.127123902980934,23.743377510157373,61.127123902980934,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-dipole-az24-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,70_90,0.13924212275819067,0.161579156062992,0.3783754003966422,1200.0,90.0,3.5405014564918007,4.679227627592146,4.679227627592146,3.464893658720065,4.389060587734624,4.389060587734624,61.127123902980934,23.743377510157373,61.127123902980934,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-dipole-az24-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,80_90,0.15823085311167734,0.17885321442939645,0.3783754003966422,1200.0,90.0,3.5405014564918007,4.679227627592146,4.679227627592146,3.464893658720065,4.389060587734624,4.389060587734624,61.127123902980934,23.743377510157373,61.127123902980934,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-dipole-az24-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,90,0.18482039542007528,0.20328424485925956,0.3783754003966422,1200.0,90.0,3.5405014564918007,4.679227627592146,4.679227627592146,3.464893658720065,4.389060587734624,4.389060587734624,61.127123902980934,23.743377510157373,61.127123902980934,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-dipole-az24-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,0_60,0.029990162484608576,0.04933463593397503,0.17369952920661547,1200.0,60.0,3.3541476388611473,4.306781816416825,4.306781816416825,3.1877500586482426,4.1028123353858055,4.1028123353858055,65.7444074368916,24.417493241663408,65.7444074368916,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-dipole-az24-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,70_90,0.15204828642106635,0.17934292063594276,0.38453683133565875,1200.0,90.0,3.3541476388611473,4.306781816416825,4.306781816416825,3.1877500586482426,4.1028123353858055,4.1028123353858055,65.7444074368916,24.417493241663408,65.7444074368916,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-dipole-az24-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,80_90,0.16842107150693372,0.1947589264270228,0.38453683133565875,1200.0,90.0,3.3541476388611473,4.306781816416825,4.306781816416825,3.1877500586482426,4.1028123353858055,4.1028123353858055,65.7444074368916,24.417493241663408,65.7444074368916,33111.576545466814,33111.576545466814,4,4
