candidate,angle_group,source_model,source_point_profile,acoustic_center_offset_mm,half_depth_mm,ring_radii_mm,front_depth_mm,rear_depth_mm,front_ring_radii_mm,rear_ring_radii_mm,source_count,source_svd_rcond,source_regularization,source_fit_rms_db_300_1200,source_fit_front_rms_db_300_1200,source_fit_rear_rms_db_300_1200,mesh_panels,mesh_area_m2,freqs_hz,angle_min_deg,angle_max_deg,target_norm_mean_db,sim_norm_mean_db,signed_mean_error_db,rms_error_db,max_abs_error_db,max_abs_error_freq_hz,max_abs_error_angle_deg
d45_r0-30-60-90_svd1e-5_ac-20mm,90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.458462319501986,2.6964100729350506,2.1948682583236208,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-9.453183932105102,7.963565341154499,7.963782506460784,8.022377477432897,304.321,90.0
d45_r0-30-60-90_svd1e-5_ac+0mm,0_60,split-discrete,symmetric_depth_rings,0.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4513302383204567,2.4065344570256912,2.4953219795762855,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-1.526304956590812,1.170206835026758,1.6339396433826376,3.2875684352527017,300.293,60.0
d45_r0-30-60-90_svd1e-5_ac+0mm,70_90,split-discrete,symmetric_depth_rings,0.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4513302383204567,2.4065344570256912,2.4953219795762855,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-15.208258665349739,8.375902437334743,14.149470702005553,19.97453547720268,300.293,75.0
d45_r0-30-60-90_svd1e-5_ac+0mm,80_90,split-discrete,symmetric_depth_rings,0.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4513302383204567,2.4065344570256912,2.4953219795762855,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-20.443884712850682,-3.0271354395910812,3.028251124160421,3.109329729846344,300.293,90.0
d45_r0-30-60-90_svd1e-5_ac+0mm,90,split-discrete,symmetric_depth_rings,0.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4513302383204567,2.4065344570256912,2.4953219795762855,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-20.443884712850682,-3.0271354395910812,3.028251124160421,3.109329729846344,300.293,90.0
d45_r0-30-60-90_svd1e-5_ac+20mm,0_60,split-discrete,symmetric_depth_rings,20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4831044300375886,2.1157551297588535,2.8027121600056777,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-2.6720612907491024,0.024450500868467628,0.45145581106824195,0.943007107681396,300.293,60.0
d45_r0-30-60-90_svd1e-5_ac+20mm,70_90,split-discrete,symmetric_depth_rings,20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4831044300375886,2.1157551297588535,2.8027121600056777,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-10.427138780644594,13.157022322039888,14.231092234659698,18.764583577855774,300.293,75.0
d45_r0-30-60-90_svd1e-5_ac+20mm,80_90,split-discrete,symmetric_depth_rings,20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4831044300375886,2.1157551297588535,2.8027121600056777,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-9.681862122090653,7.734887151168948,7.7348882605646345,7.739029867924486,304.321,90.0
d45_r0-30-60-90_svd1e-5_ac+20mm,90,split-discrete,symmetric_depth_rings,20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.4831044300375886,2.1157551297588535,2.8027121600056777,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-9.681862122090653,7.734887151168948,7.7348882605646345,7.739029867924486,304.321,90.0
d45_r0-25-50-75-95_svd1e-5_ac-20mm,0_60,split-discrete,symmetric_depth_rings,-20.0,45.0,0 25 50 75 95,45.0,45.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,1e-06,2.4211161910026697,2.6664737957450253,2.1479117107729704,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,0.311757132216384,3.008268923833954,4.05151941737745,7.517198011048762,304.321,60.0
d45_r0-25-50-75-95_svd1e-5_ac-20mm,70_90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 25 50 75 95,45.0,45.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,1e-06,2.4211161910026697,2.6664737957450253,2.1479117107729704,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-6.96487335246894,16.61928775021554,18.868955297508847,25.699960671257863,300.293,75.0
d45_r0-25-50-75-95_svd1e-5_ac-20mm,80_90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 25 50 75 95,45.0,45.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,1e-06,2.4211161910026697,2.6664737957450253,2.1479117107729704,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-9.73190641982739,7.684842853432212,7.685070800545673,7.74403345616242,304.321,90.0
