candidate,rms_0_60_db,mean_0_60_db,max_abs_0_60_db,source_model,half_depth_mm,ring_radii_mm,source_point_profile,acoustic_center_offset_mm,front_depth_mm,rear_depth_mm,front_ring_radii_mm,rear_ring_radii_mm,source_count,source_svd_rcond,source_fit_rms_db_300_1200,rms_70_90_db,mean_70_90_db,max_abs_70_90_db,rms_80_90_db,mean_80_90_db,max_abs_80_90_db,rms_90_db,mean_90_db,max_abs_90_db,hotspot_score_db
h1659-modal-full3-az24-reg1e-06_ac-20mm,1.055551049040427,0.7180266530690972,2.1075870214110637,split-profile-ring,nan,,h1659-modal-full-3,-20.0,nan,nan,,,726,,1.5577254728819339,13.95149911989553,5.778178327751238,18.633863673360302,6.920085979300237,-6.920013693589212,6.951643449287211,6.920085979300237,-6.920013693589212,6.951643449287211,13.95149911989553
asym_f45r55_r0-35-70-95_svd1e-5_ac-20mm,1.5902174125434059,1.0457256040296188,3.331587382703262,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,-20.0,45.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,2.502791088155247,13.891743620236111,12.059971437974303,19.168039683783768,5.167279451886912,5.167000149666702,5.220725257735282,5.167279451886912,5.167000149666702,5.220725257735282,13.981961032779518
asym_f45r55_r0-35-70-95_svd1e-6_ac-20mm,1.5990942574361573,1.0570942164882318,3.3425759501588033,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,-20.0,45.0,55.0,0 35 70 95,0 35 70 95,14,1e-06,2.50275485829808,13.913335752633508,12.091493418950911,19.18672330866032,5.210494630026225,5.210195734507533,5.266005210868045,5.210494630026225,5.210195734507533,5.266005210868045,14.012430010069664
h1659-modal-full2-az24-reg1e-06_ac+0mm,1.219043534943521,0.8209187098876924,2.448264433253513,split-profile-ring,nan,,h1659-modal-full-2,0.0,nan,nan,,,484,,1.993637231901072,14.022617394867337,10.815689061792291,19.89065878778456,1.8915898337472956,1.8913988737632934,1.9182763636584852,1.8915898337472956,1.8913988737632934,1.9182763636584852,14.022617394867337
asym_f45r55_front35_rear25_svd1e-5_ac-20mm,1.6457225190717595,1.0310704505845272,3.490272842956685,split-discrete,nan,,asymmetric_depth_rings,-20.0,45.0,55.0,0 35 70 95,0 25 50 75 95,16,1e-05,2.494109497852305,13.907731136935205,12.231895089428466,19.06831951726626,5.615535326154165,5.615250968295996,5.671762580697816,5.615535326154165,5.615250968295996,5.671762580697816,14.053453656006964
current_d45_r0-35-70-95_svd1e-5_ac+0mm,1.5146277252348774,1.023155693212876,3.14951265614242,split-discrete,45.0,0 35 70 95,symmetric_depth_rings,0.0,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,2.425667868014756,14.046322093721036,8.72776213150144,19.915168251013917,2.277382578498429,-2.2771530610154613,2.3094848651109174,2.277382578498429,-2.2771530610154613,2.3094848651109174,14.060949818955914
asym_f45r55_front35_rear25_svd1e-6_ac-20mm,1.6568868258882992,1.047203631006503,3.504082601618073,split-discrete,nan,,asymmetric_depth_rings,-20.0,45.0,55.0,0 35 70 95,0 25 50 75 95,16,1e-06,2.4940689690234663,13.929371366914777,12.265716962395913,19.08456044875149,5.6664775842391,5.6661825704291005,5.724003771122767,5.6664775842391,5.6661825704291005,5.724003771122767,14.086258192803076
current_d45_r0-35-70-95_svd1e-6_ac+0mm,1.5257422628384258,1.0349369403474697,3.164346587739942,split-discrete,45.0,0 35 70 95,symmetric_depth_rings,0.0,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-06,2.4256304427719915,14.061582779753532,8.716308897989794,19.929984376099576,2.317298515904411,-2.317163851126608,2.3421458215231254,2.317298515904411,-2.317163851126608,2.3421458215231254,14.087325042591958
asym_f45r55_r0-35-70-95_svd1e-5_ac+0mm,0.8315817404219605,0.4764060768957677,1.8693114231590613,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,0.0,45.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,2.507171507534839,14.10062607911628,6.2451877359409345,19.079127547742317,6.396320883196341,-6.396269044493465,6.422020768091791,6.396320883196341,-6.396269044493465,6.422020768091791,14.10062607911628
asym_f45r55_r0-35-70-95_svd1e-6_ac+0mm,0.8406469504403913,0.48647201956238034,1.8845193097564206,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,0.0,45.0,55.0,0 35 70 95,0 35 70 95,14,1e-06,2.5071340943311617,14.12726641002417,6.232432077014568,19.09911262892696,6.445155103906356,-6.445013643160394,6.487715550454396,6.445155103906356,-6.445013643160394,6.487715550454396,14.12726641002417
d45_r0-30-60-90_svd1e-5_ac+20mm,0.45145581106824195,0.024450500868467628,0.943007107681396,split-discrete,45.0,0 30 60 90,symmetric_depth_rings,20.0,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,2.4831044300375886,14.231092234659698,13.157022322039888,18.764583577855774,7.7348882605646345,7.734887151168948,7.739029867924486,7.7348882605646345,7.734887151168948,7.739029867924486,14.231092234659698
d45_r0-30-60-90_svd1e-5_ac+0mm,1.6339396433826376,1.170206835026758,3.2875684352527017,split-discrete,45.0,0 30 60 90,symmetric_depth_rings,0.0,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,2.4513302383204567,14.149470702005553,8.375902437334743,19.97453547720268,3.028251124160421,-3.0271354395910812,3.109329729846344,3.028251124160421,-3.0271354395910812,3.109329729846344,14.28341034538819
d65_r0-25-50-75-95_svd1e-6_ac+20mm,0.3921531725441385,0.07756121307680744,0.7846938433879913,split-discrete,65.0,0 25 50 75 95,symmetric_depth_rings,20.0,65.0,65.0,0 25 50 75 95,0 25 50 75 95,18,1e-06,2.73768027662908,14.284257854639982,6.6731329148286065,19.483297642201556,5.955917667632556,-5.955917656010239,5.956289735453055,5.955917667632556,-5.955917656010239,5.956289735453055,14.284257854639982
d65_r0-25-50-75-95_svd1e-5_ac+20mm,0.3866258562698278,0.06553826641184628,0.7622143664885712,split-discrete,65.0,0 25 50 75 95,symmetric_depth_rings,20.0,65.0,65.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,2.737737573299808,14.288056102539874,6.585253340254813,19.448917722534226,6.094108664858957,-6.094097191987451,6.105922322839973,6.094108664858957,-6.094097191987451,6.105922322839973,14.288056102539874
d45_r0-25-50-75-95_svd1e-5_ac+0mm,1.569769160669601,0.9974583778568593,3.321911604108479,split-discrete,45.0,0 25 50 75 95,symmetric_depth_rings,0.0,45.0,45.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,2.4092126657511534,14.22603852586011,9.182994156838303,20.21970845842941,1.6815722611346366,-1.6815304786322294,1.6933845432650756,1.6815722611346366,-1.6815304786322294,1.6933845432650756,14.295807686529711
d45_r0-30-60-90_svd1e-6_ac+0mm,1.6430182982945125,1.1786436114531498,3.2981179608667546,split-discrete,45.0,0 30 60 90,symmetric_depth_rings,0.0,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-06,2.45130095555324,14.166607871186592,8.3599359631279,19.985633594190666,3.0767946155544355,-3.076161612425068,3.1385702700550127,3.0767946155544355,-3.076161612425068,3.1385702700550127,14.309626169481104
h1659-modal-full3-az24-reg1e-06_ac+20mm,0.9792055291091897,0.6635626557126649,1.9541754856925664,split-profile-ring,nan,,h1659-modal-full-3,20.0,nan,nan,,,726,,1.837459764600074,14.321714848784529,13.043276243457933,19.073162635539724,7.129132507890692,7.12909712148322,7.15155925681151,7.129132507890692,7.12909712148322,7.15155925681151,14.321714848784529
d45_r0-25-50-75-95_svd1e-6_ac+0mm,1.5841530568287836,1.0141129598996528,3.342569160986308,split-discrete,45.0,0 25 50 75 95,symmetric_depth_rings,0.0,45.0,45.0,0 25 50 75 95,0 25 50 75 95,18,1e-06,2.40916829251958,14.24327333649728,9.173864521289055,20.239767075702282,1.7209459745995337,-1.7209215040414385,1.7300988902756558,1.7209459745995337,-1.7209215040414385,1.7300988902756558,14.327426393326064
h1659-profile-ring-full-az24-reg1e-06-svd1e-05_ac+20mm,1.201507914252626,0.8107137995280809,2.405439742981642,split-profile-ring,nan,,h1659-acoustic-full,20.0,nan,nan,,,242,1e-05,0.934519005569095,14.33878240254514,7.238358205748559,19.756092809823386,5.139421234417149,-5.138786267902301,5.2195718953161006,5.139421234417149,-5.138786267902301,5.2195718953161006,14.33878240254514
d65_r0-35-70-95_svd1e-6_ac+20mm,0.4409777210183002,0.2222182408166944,0.9554306864313702,split-discrete,65.0,0 35 70 95,symmetric_depth_rings,20.0,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-06,2.748836977744031,14.346867976001624,6.5453366711375,19.501625402073373,6.220900358569744,-6.220707948259697,6.2696353813805885,6.220900358569744,-6.220707948259697,6.2696353813805885,14.346867976001624
h1659-profile-ring-full-az24-reg1e-06_ac+20mm,1.2051728001323807,0.8131435130941298,2.41318600470035,split-profile-ring,nan,,h1659-acoustic-full,20.0,nan,nan,,,242,,0.9344252463861611,14.347568194007932,7.258000533668545,19.77368301100168,5.118472575693178,-5.117824452347438,5.199276174722101,5.118472575693178,-5.117824452347438,5.199276174722101,14.347568194007932
h1659-profile-ring-compact-az24-reg1e-06-svd1e-05_ac+20mm,1.218947013439033,0.8225909856722723,2.440198638779435,split-profile-ring,nan,,h1659-acoustic-compact,20.0,nan,nan,,,146,1e-05,0.9420918884873285,14.348068184473837,7.4012347336998605,19.832545486420806,4.890815856502541,-4.89002727270562,4.977851041765675,4.890815856502541,-4.89002727270562,4.977851041765675,14.348068184473837
d45_r0-30-60-90_svd1e-6_ac+20mm,0.47424207334979446,0.05733392774822903,1.0170207044101716,split-discrete,45.0,0 30 60 90,symmetric_depth_rings,20.0,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-06,2.4830771958015156,14.353474080128882,13.276302506525541,18.902437373014422,7.822202210455926,7.822202106036244,7.82348022329645,7.822202210455926,7.822202106036244,7.82348022329645,14.353474080128882
